number,title,html_url,assignee,creater
2495,Automatically filled passwords are not accepted,https://github.com/umami-software/umami/issues/2495, ,Koen1999
2494,Upgrading from v2.4.1 to v2.9.0 encountered an error.,https://github.com/umami-software/umami/issues/2494, ,mobeicanyue
2492,Huge sudden drop in number of visitors (sessions) after upgrading to v2.9.0,https://github.com/umami-software/umami/issues/2492, ,zavan
2488,self-host API get could not working,https://github.com/umami-software/umami/issues/2488, ,mobeicanyue
2478,Odd failure to collect stats ...,https://github.com/umami-software/umami/issues/2478, ,bernd-wechner
2476,Error in initial Build & Deploy configuration on Netlify,https://github.com/umami-software/umami/issues/2476, ,leftieFriele
2475,✗ Failed to run sql file /db/postgresql/data-migration-v2.sql,https://github.com/umami-software/umami/issues/2475, ,candidexmedia
2474,Update,https://github.com/umami-software/umami/pull/2474, ,zlever01
2473,Log IP address on failed login attempts,https://github.com/umami-software/umami/pull/2473, ,timokoessler
2472,Update schema.prisma,https://github.com/umami-software/umami/pull/2472, ,spencertweedy
2469,Bump follow-redirects from 1.15.3 to 1.15.4,https://github.com/umami-software/umami/pull/2469, ,dependabot[bot]
2467,I can't go to event data page on european Umami Cloud ,https://github.com/umami-software/umami/issues/2467, ,d22ier
2466,How can I recover my management password if I've forgotten it?,https://github.com/umami-software/umami/issues/2466, ,movecat
2465,Dashboard ESLint / Babel error,https://github.com/umami-software/umami/issues/2465, ,Lens101
2464,add cognito auth verifier,https://github.com/umami-software/umami/pull/2464, ,ankit-donor360
2463,Umami Cloud empty dashboard despite 200 /send network request,https://github.com/umami-software/umami/issues/2463, ,rnkdev
2461,Difference in Page Views between Umami and Vercel Analytics,https://github.com/umami-software/umami/issues/2461, ,jparismorgan
2458,"Installation error: The engine ""node"" is incompatible with this module. Expected version "">=18.17.0"". Got ""16.20.2""",https://github.com/umami-software/umami/issues/2458, ,azat-io
2457,Website stat bounce rate color is wrong,https://github.com/umami-software/umami/issues/2457, ,KaiPereira
2453,"Replace all instances of ""publically"" with ""publicly""",https://github.com/umami-software/umami/pull/2453, ,jaasonw
2452,Track redirects in Next.js 14?,https://github.com/umami-software/umami/issues/2452, ,deadcoder0904
2448,404: Tracking code from initial onboarding does not include eu subdomain,https://github.com/umami-software/umami/issues/2448, ,mbanerjeepalmer
2447,Update Localisation for Swedish language ,https://github.com/umami-software/umami/pull/2447, ,Braggedtooth
2446,Update Localisation for Swedish language,https://github.com/umami-software/umami/pull/2446, ,Braggedtooth
2445,fix: Hide Add Website button for View Only users,https://github.com/umami-software/umami/pull/2445, ,uzzii-21
2441,Public/Shared url: also share events data,https://github.com/umami-software/umami/issues/2441, ,alcalyn
2432,Issue after upgrade to 2.8.0,https://github.com/umami-software/umami/issues/2432, ,qlaffont
2429,v2.9.0,https://github.com/umami-software/umami/pull/2429, ,mikecao
2428, ⚠ Entire page /sso deopted into client-side rendering. https://nextjs.org/docs/messages/deopted-into-client-rendering /sso,https://github.com/umami-software/umami/issues/2428, ,shailendrakashyap
2425,Fixed a typo,https://github.com/umami-software/umami/pull/2425, ,akshar-dave
